variable_level,correct,broad
*Patient not asked,,Unknown
*Patient not asked / not known,,Unknown
312508,,Unknown
3767639,,Unknown
3767646,,Unknown
Any other asian background,Asian or Asian British - Any other Asian background,Asian
Any other black background,Asian or Asian British - Any other Asian background,Asian
Any other ethnic group,Mixed - Any other mixed background,Mix
Any other mixed background,Mixed - Any other mixed background,Mix
Any other white background,Mixed - Any other mixed background,Mix
Asian or Asian British - Any other Asian background,Asian or Asian British - Any other Asian background,Asian
Asian or Asian British - Bangladeshi,Asian or Asian British - Bangladeshi,Asian
Asian or Asian British - Indian,Asian or Asian British - Indian,Asian
Asian or Asian British - Pakistani,Asian or Asian British - Pakistani,Asian
Bangladeshi,Asian or Asian British - Bangladeshi,Asian
Bangladeshi or british banglad,Asian or Asian British - Bangladeshi,Asian
Black - african,Black or Black British - African,Black
Black - caribbean,Black or Black British - Caribbean,Black
Black - other,Black or Black British - Any other Black background,Black
Black or Black British - African,Black or Black British - African,Black
Black or Black British - Any other Black background,Black or Black British - Any other Black background,Black
Black or Black British - Caribbean,Black or Black British - Caribbean,Black
Black/black british african,Black or Black British - African,Black
Black/black caribbean,Black or Black British - Caribbean,Black
Chinese,Other Ethnic Groups - Chinese,Other
Indian,Asian or Asian British - Indian,Asian
Indian or british indian,Asian or Asian British - Indian,Asian
Mixed - Any other mixed background,Mixed - Any other mixed background,Mix
Mixed - White and Asian,Mixed - White and Asian,Mix
Mixed - White and Black African,Mixed - White and Black African,Mix
Mixed - White and Black Caribbean,Mixed - White and Black Caribbean,Mix
Mixed white & asian,Mixed - White and Asian,Mix
Mixed white & black african,Mixed - White and Black African,Mix
Mixed white & black caribbean,Mixed - White and Black Caribbean,Mix
Not collected,,Unknown
Not given,,Unknown
Not stated,,Unknown
Not stated e.g. unwilling to s,,Unknown
Other Ethnic Groups - Chinese,Other Ethnic Groups - Chinese,Other
Pakistani,Asian or Asian British - Pakistani,Asian
Pakistani or british pakistani,Asian or Asian British - Pakistani,Asian
Unknown,,Unknown
White - Any other White background,White - Any other White background,White
White - British,White - British,White
White - Irish,White - Irish,White
White - british,White - British,White
White - irish,White - Irish,White
White and asian,Mixed - White and Asian,Mix
White and black african,Mixed - White and Black African,Mix
White and black caribbean,Mixed - White and Black Caribbean,Mix
White british,White - British,White
White irish,White - Irish,White
