concept_id,concept_name,domain_id,vocabulary_id,standard_concept
372924,Cerebral artery occlusion,Condition,SNOMED,standard
375557,Cerebral embolism,Condition,SNOMED,standard
381316,Cerebrovascular accident,Condition,SNOMED,standard
437308,Basilar artery occlusion,Condition,SNOMED,standard
439295,Multiple and bilateral precerebral arterial occlusion,Condition,SNOMED,standard
441874,Cerebral thrombosis,Condition,SNOMED,standard
443454,Cerebral infarction,Condition,SNOMED,standard
600670,Occlusion of anterior cerebral artery,Condition,SNOMED,standard
601068,Bilateral occlusion of middle cerebral arteries,Condition,SNOMED,standard
601069,Bilateral occlusion of anterior cerebral arteries,Condition,SNOMED,standard
602584,Cerebrovascular accident due to occlusion of basilar artery,Condition,SNOMED,standard
602613,Cerebrovascular accident due to embolism of bilateral cerebellar arteries,Condition,SNOMED,standard
602615,Cerebrovascular accident due to occlusion of right anterior cerebral artery,Condition,SNOMED,standard
603206,Cerebrovascular accident due to occlusion of left posterior communicating artery,Condition,SNOMED,standard
603326,Cryptogenic stroke,Condition,SNOMED,standard
604171,Cerebrovascular accident due to thrombosis of right cerebellar artery,Condition,SNOMED,standard
605421,Cerebrovascular accident due to embolism of bilateral anterior cerebral arteries,Condition,SNOMED,standard
606048,Neonatal ischemic stroke,Condition,SNOMED,standard
607524,Occlusion of right anterior cerebral artery,Condition,SNOMED,standard
607525,Occlusion of left anterior cerebral artery,Condition,SNOMED,standard
607526,Bilateral occlusion of posterior cerebral arteries,Condition,SNOMED,standard
607564,Occlusion of right posterior communicating artery,Condition,SNOMED,standard
607565,Occlusion of left posterior communicating artery,Condition,SNOMED,standard
607568,Embolism of left anterior cerebral artery,Condition,SNOMED,standard
607569,Embolism of right anterior cerebral artery,Condition,SNOMED,standard
607585,Bilateral embolism of middle cerebral arteries,Condition,SNOMED,standard
607586,Bilateral embolism of posterior cerebral arteries,Condition,SNOMED,standard
607587,Bilateral embolism of anterior cerebral arteries,Condition,SNOMED,standard
607611,Bilateral embolism of carotid arteries,Condition,SNOMED,standard
607612,Bilateral embolism of cerebellar arteries,Condition,SNOMED,standard
607815,Left posterior cerebral artery thrombosis,Condition,SNOMED,standard
607816,Right posterior cerebral artery thrombosis,Condition,SNOMED,standard
607817,Left cerebellar artery thrombosis,Condition,SNOMED,standard
608742,Cerebrovascular accident due to embolism of bilateral carotid arteries,Condition,SNOMED,standard
609188,Cerebrovascular accident due to embolism of bilateral posterior cerebral arteries,Condition,SNOMED,standard
609242,Cerebrovascular accident due to occlusion of left anterior cerebral artery,Condition,SNOMED,standard
609245,Cerebrovascular accident due to occlusion of bilateral middle cerebral arteries,Condition,SNOMED,standard
609263,Cerebrovascular accident due to embolism of left anterior cerebral artery,Condition,SNOMED,standard
609301,Cerebrovascular accident due to occlusion of bilateral cerebellar arteries,Condition,SNOMED,standard
609313,Cerebrovascular accident due to embolism of right carotid artery,Condition,SNOMED,standard
609314,Cerebrovascular accident due to thrombosis of right posterior cerebral artery,Condition,SNOMED,standard
618627,Cerebrovascular accident due to thrombosis of right vertebral artery,Condition,SNOMED,standard
618628,Cerebrovascular accident due to embolism of left vertebral artery,Condition,SNOMED,standard
618658,Cerebrovascular accident due to occlusion of bilateral anterior cerebral arteries,Condition,SNOMED,standard
618670,Cerebrovascular accident due to embolism of bilateral vertebral arteries,Condition,SNOMED,standard
618672,Cerebrovascular accident due to thrombosis of left vertebral artery,Condition,SNOMED,standard
618677,Cerebrovascular accident due to embolism of right vertebral artery,Condition,SNOMED,standard
618684,Cerebrovascular accident due to embolism of right anterior cerebral artery,Condition,SNOMED,standard
618685,Cerebrovascular accident due to occlusion of right posterior communicating artery,Condition,SNOMED,standard
618686,Cerebrovascular accident due to thrombosis of left posterior cerebral artery,Condition,SNOMED,standard
618688,Cerebrovascular accident due to embolism of left carotid artery,Condition,SNOMED,standard
