concept_id,concept_name,domain_id,vocabulary_id,standard_concept
259123,Congenital subaortic stenosis,Condition,SNOMED,standard
261881,Trauma and postoperative pulmonary insufficiency,Condition,SNOMED,standard
312728,Congenital tricuspid atresia and stenosis,Condition,SNOMED,standard
313005,Congenital stenosis of pulmonary valve,Condition,SNOMED,standard
313006,Congenital stenosis of mitral valve,Condition,SNOMED,standard
313007,Congenital insufficiency of mitral valve,Condition,SNOMED,standard
313221,Rheumatic aortic stenosis,Condition,SNOMED,standard
313500,Acute rheumatic heart disease,Condition,SNOMED,standard
314054,Aortic valve disorder,Condition,SNOMED,standard
314368,Mitral stenosis with insufficiency,Condition,SNOMED,standard
314457,Congenital stenosis of aortic valve,Condition,SNOMED,standard
315273,Mitral valve stenosis,Condition,SNOMED,standard
315282,Rheumatic disease of aortic valve,Condition,SNOMED,standard
315295,Congestive rheumatic heart failure,Condition,SNOMED,standard
315564,Aortic valve regurgitation,Condition,SNOMED,standard
316993,Tricuspid valve disorder,Condition,SNOMED,standard
317296,Rheumatic disease of pulmonary valve,Condition,SNOMED,standard
317890,Mitral and aortic stenosis,Condition,SNOMED,standard
318776,Rheumatic mitral regurgitation,Condition,SNOMED,standard
319825,Rheumatic heart disease,Condition,SNOMED,standard
319843,Mitral valve disorder,Condition,SNOMED,standard
319845,Pulmonary valve disorder,Condition,SNOMED,standard
319921,Congenital pulmonary valve abnormality,Condition,SNOMED,standard
320115,Mitral insufficiency and aortic stenosis,Condition,SNOMED,standard
320416,Diseases of mitral and aortic valves,Condition,SNOMED,standard
320429,Rheumatic aortic stenosis with regurgitation,Condition,SNOMED,standard
320835,Tetralogy of Fallot,Condition,SNOMED,standard
321041,Mitral stenosis and aortic insufficiency,Condition,SNOMED,standard
321107,Congenital insufficiency of aortic valve,Condition,SNOMED,standard
435829,Rheumatic disease of heart valve,Condition,SNOMED,standard
437461,Disorder of prosthetic cardiac valve,Condition,SNOMED,standard
