concept_id,concept_name,domain_id,vocabulary_id,standard_concept
618951,Myocardial infarction with non-obstructive coronary artery,Condition,SNOMED,standard
4270024,Acute non-ST segment elevation myocardial infarction,Condition,SNOMED,standard
37163019,Acute inferior non-ST segment elevation myocardial infarction of right ventricle,Condition,SNOMED,standard
37163020,Acute inferior non-ST segment elevation myocardial infarction,Condition,SNOMED,standard
37163022,Acute anterior non-ST segment elevation myocardial infarction with right ventricular involvement,Condition,SNOMED,standard
37163023,Acute anterior non-ST segment elevation myocardial infarction,Condition,SNOMED,standard
37163084,Acute non-ST segment elevation myocardial infarction of right ventricle,Condition,SNOMED,standard
37163289,Subsequent anterior non-ST segment elevation myocardial infarction,Condition,SNOMED,standard
37163290,Subsequent inferior non-ST segment elevation myocardial infarction,Condition,SNOMED,standard
44811406,Thrombolysis In Myocardial Infarction risk score for unstable angina or non-ST-segment-elevation myocardial infarction,Measurement,SNOMED,standard
